date,temperature_2m_mean,precipitation_sum,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,wind_speed_10m_max,sunshine_duration,year
2023-03-01,4.0294166,0.0,8.8065,0.30650002,79.17039,24.514387,35002.2,2023
2023-03-02,3.8460834,0.4,6.3564997,0.9065,80.22879,19.64228,0.0,2023
2023-03-03,5.0169168,0.0,6.8065,3.3065,76.237976,15.484185,2250.211,2023
2023-03-04,3.2481668,0.3,4.9065,-0.0935,72.79469,13.513193,15362.092,2023
2023-03-05,3.6835835,1.6000001,8.856501,-1.7435,87.657326,22.45315,7658.207,2023
2023-03-06,2.9898336,4.1,4.4564996,-1.7935,86.70673,12.879752,114.50311,2023
2023-03-07,1.2335833,12.999999,2.5065,-2.0935,95.71332,23.34455,0.0,2023
2023-03-08,6.1065,5.9999995,11.8065,1.9565,93.121185,20.972897,1131.8806,2023
2023-03-09,4.3002505,4.6,8.5565,-1.5935,85.049614,33.190357,21352.176,2023
2023-03-10,2.4231665,1.1,7.8564997,-3.5935,76.52422,16.676977,20115.887,2023
2023-03-11,9.841916,1.2,12.9065,5.7565,84.72394,30.962091,12704.205,2023
2023-03-12,11.689835,0.9000001,13.9065,9.606501,81.23606,50.425705,30088.467,2023
2023-03-13,6.391918,5.7,9.7565,3.8565,72.568634,26.674032,21762.775,2023
2023-03-14,4.4773335,1.7,8.356501,-1.0435,83.2845,22.033648,18280.45,2023
2023-03-15,10.31275,2.3999999,13.9565,7.5065,82.48987,28.079998,9035.431,2023
2023-03-16,10.760667,1.9000002,13.606501,8.4065,90.184135,19.513195,13982.676,2023
2023-03-17,10.068999,3.9999998,13.0565,8.0565,86.01285,14.044615,19464.455,2023
2023-03-18,8.252334,1.7000002,10.5565,5.3065,77.233246,19.681828,23088.031,2023
2023-03-19,9.731501,3.2000003,12.8065,7.1064997,86.19744,25.582806,579.8032,2023
2023-03-20,10.708583,1.5000001,13.9565,8.5565,82.59408,31.060303,27766.611,2023
2023-03-21,11.314834,2.2,14.5065,10.0065,81.8902,35.008957,10800.0,2023
2023-03-22,10.796085,8.9,13.856501,7.8564997,79.75414,36.161636,30435.139,2023
2023-03-23,9.714834,1.7,12.8065,7.3065,79.740364,35.428463,39589.54,2023
2023-03-24,9.977334,0.5,13.5065,7.5065,69.9192,38.540184,37690.66,2023
2023-03-25,7.493999,8.1,8.6565,3.1565,84.505424,22.226902,732.3001,2023
2023-03-27,5.2981668,0.0,9.606501,1.8065,69.67991,9.779817,35485.22,2023
2023-03-28,6.9939995,1.9000001,9.0065,3.4065,77.58016,25.842384,0.0,2023
2023-03-29,11.360667,3.3,14.0565,8.0065,89.41916,29.598919,3068.3787,2023
2023-03-30,12.060666,2.9,15.0565,10.1565,80.67744,31.826931,35204.914,2023
2023-03-31,10.839835,13.2,13.356501,9.9565,86.95777,33.696075,3311.9788,2023
2023-04-01,9.639834,1.2,11.5565,8.1565,81.30814,21.218632,10856.323,2023
2023-04-02,7.88775,0.0,11.3065,2.9565,72.00772,23.023117,24096.504,2023
2023-04-03,5.5085835,0.0,11.0065,0.30650002,76.14832,18.532133,41617.555,2023
2023-04-04,5.6815,0.0,12.5065,-0.8435,75.17295,13.324863,43074.074,2023
2023-04-05,6.5231667,1.0,11.7065,0.6565,78.58353,12.475961,17235.947,2023
2023-04-06,9.446084,4.899999,13.356501,5.6064997,84.989235,22.771244,27241.79,2023
2023-04-07,8.112751,0.2,13.7065,2.8065,71.33472,10.296251,43247.348,2023
2023-04-08,7.846083,0.0,13.606501,2.5565,81.21638,11.043261,42304.84,2023
2023-04-09,9.273167,0.0,15.356501,3.5065,77.60117,14.044615,34899.402,2023
2023-04-10,10.927334,9.100001,14.2565,7.8564997,77.9083,33.043606,21715.074,2023
2023-04-11,8.73775,7.4,12.5565,5.7565,75.57516,39.35872,22143.324,2023
2023-04-12,7.6523337,3.3000002,10.5565,4.8065,75.79244,46.037796,34588.934,2023
2023-04-13,8.258583,1.0,12.2065,4.6565,66.43751,27.021591,43989.52,2023
2023-04-14,7.164833,8.1,9.9565,2.3065,83.17033,21.313093,7506.9404,2023
2023-04-15,9.646085,2.2999997,14.2065,6.6565,79.264404,18.0,29437.633,2023
2023-04-16,9.8565,0.0,15.0565,5.0065,77.73494,10.495713,8804.164,2023
2023-04-17,10.623166,0.5,15.8065,7.2565,79.44016,18.374111,33329.355,2023
